EG_PCR_mam_09.03		1	2	3	4	5	6	7	8	9	10	11	12
Primer plate 3	A	EG25_L378	EG25_L120	EG25_L328	EG25_L136	EG25_L188	EG25_C001	EG25_L164	EG25_L208	EG25_L298	EG25_L368	EG25_L156	EG25_C002
	B	EG25_L53	EG25_L33	EG25_L13	EG25_L308	EG25_L146	EG25_L176	EG25_L63	EG25_L268	EG25_L95	EG25_L278	EG25_L218	EG25_CN007
	C	EG25_L3	EG25_L238	EG25_L258	EG25_L85	EG25_L43	EG25_L338	EG25_CN006	EG25_L198	EG25_L228	EG25_L23	EG25_L248	EG25_CP008
	D	EG25_L319	EG25_L348	EG25_L358	EG25_L288	EG25_L105	EG25_CN005	EG25_L387	EG25_L398	EG25_L407			
	E	EG25_L378	EG25_L120	EG25_L328	EG25_L136	EG25_L188	EG25_C001	EG25_L164	EG25_L208	EG25_L298	EG25_L368	EG25_L156	EG25_C002
	F	EG25_L53	EG25_L33	EG25_L13	EG25_L308	EG25_L146	EG25_L176	EG25_L63	EG25_L268	EG25_L95	EG25_L278	EG25_L218	EG25_CN007
	G	EG25_L3	EG25_L238	EG25_L258	EG25_L85	EG25_L43	EG25_L338	EG25_CN006	EG25_L198	EG25_L228	EG25_L23	EG25_L248	EG25_CP008
	H	EG25_L319	EG25_L348	EG25_L358	EG25_L288	EG25_L105	EG25_CN005	EG25_L387	EG25_L398	EG25_L407			
													
													
EG_PCR_mam_09.04		1	2	3	4	5	6	7	8	9	10	11	12
Primer plate 4 	A	EG25_L378	EG25_L120	EG25_L328	EG25_L136	EG25_L188	EG25_C001	EG25_L164	EG25_L208	EG25_L298	EG25_L368	EG25_L156	EG25_C002
	B	EG25_L53	EG25_L33	EG25_L13	EG25_L308	EG25_L146	EG25_L176	EG25_L63	EG25_L268	EG25_L95	EG25_L278	EG25_L218	EG25_CN007
	C	EG25_L3	EG25_L238	EG25_L258	EG25_L85	EG25_L43	EG25_L338	EG25_CN006	EG25_L198	EG25_L228	EG25_L23	EG25_L248	EG25_CP008
	D	EG25_L319	EG25_L348	EG25_L358	EG25_L288	EG25_L105	EG25_CN005	EG25_L387	EG25_L398	EG25_L407			
	E	EG25_L378	EG25_L120	EG25_L328	EG25_L136	EG25_L188	EG25_C001	EG25_L164	EG25_L208	EG25_L298	EG25_L368	EG25_L156	EG25_C002
	F	EG25_L53	EG25_L33	EG25_L13	EG25_L308	EG25_L146	EG25_L176	EG25_L63	EG25_L268	EG25_L95	EG25_L278	EG25_L218	EG25_CN007
	G	EG25_L3	EG25_L238	EG25_L258	EG25_L85	EG25_L43	EG25_L338	EG25_CN006	EG25_L198	EG25_L228	EG25_L23	EG25_L248	EG25_CP008
	H	EG25_L319	EG25_L348	EG25_L358	EG25_L288	EG25_L105	EG25_CN005	EG25_L387	EG25_L398	EG25_L407			
	H	EG25_L319	EG25_L348	EG25_L358	EG25_L288	EG25_L105	EG25_CN005	EG25_L387	EG25_L398	EG25_L407			
